成像系统角分辨率及有效事件比例随MRPC(400X400mm^2)间距变化
d(mm) △θ(mrad)  η(%)
200 17.0887     27.8882
220 14.9214     26.6994
240 13.1795     25.6643
260 11.7319     24.6938
280 10.5006     23.7517
300 9.46061     22.8866
320 8.56513     22.0629
340 7.81967     21.3675
360 7.1443      20.6414
380 6.54666     19.9457
400 6.03445     19.3288
420 5.5756      18.7377
440 5.18846     18.2489
460 4.81745     17.6972
480 4.49702     17.2218
500 4.19204     16.7181
520 3.93335     16.2969
540 3.69933     15.9061
560 3.47988     15.5085
580 3.28133     15.1404
