=====d_theta vs d========
200 21.2315 35.347
250 17.1943 31.42
300 14.4489 27.782
350 12.4695 25.1
400 10.955 22.963
450 9.7794 20.956
500 8.84159 19.18
550 8.0362 17.951
600 7.38877 16.829
650 6.83288 15.641
700 6.35747 14.9
750 5.93729 13.814
800 5.56832 13.102
850 5.24875 12.516
900 4.95389 11.97
950 4.69574 11.441
1000 4.47167 10.815
1050 4.26187 10.483
1100 4.06414 9.97
1150 3.89314 9.76
1200 3.72053 9.219
1250 3.58224 8.782
1300 3.44505 8.573
1350 3.31569 8.248
1400 3.20007 7.892
1450 3.09255 7.779
1500 2.98859 7.505
